occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
48695353233,,cycles,10377771871,100.00,,
74974290467,,instructions,10377771871,100.00,1.54,insn per cycle
1152548103,,branch-misses,10377771871,100.00,,
89794,,LLC-load-misses,10377771871,100.00,,
8290,,LLC-store-misses,10377771871,100.00,,
10393900029,ns,duration_time,10393900029,100.00,,
49166907843,,cycles,10478939947,100.00,,
74973447671,,instructions,10478939947,100.00,1.52,insn per cycle
1152822796,,branch-misses,10478939947,100.00,,
114282,,LLC-load-misses,10478939947,100.00,,
9357,,LLC-store-misses,10478939947,100.00,,
10479345275,ns,duration_time,10479345275,100.00,,
48731421477,,cycles,10384968288,100.00,,
74974097150,,instructions,10384968288,100.00,1.54,insn per cycle
1150698887,,branch-misses,10384968288,100.00,,
41439,,LLC-load-misses,10384968288,100.00,,
8503,,LLC-store-misses,10384968288,100.00,,
10385553859,ns,duration_time,10385553859,100.00,,
49018891731,,cycles,10447792420,100.00,,
74974095669,,instructions,10447792420,100.00,1.53,insn per cycle
1153939397,,branch-misses,10447792420,100.00,,
112447,,LLC-load-misses,10447792420,100.00,,
9291,,LLC-store-misses,10447792420,100.00,,
10457723227,ns,duration_time,10457723227,100.00,,
48833780846,,cycles,10408076685,100.00,,
74974392763,,instructions,10408076685,100.00,1.54,insn per cycle
1154439319,,branch-misses,10408076685,100.00,,
142779,,LLC-load-misses,10408076685,100.00,,
8649,,LLC-store-misses,10408076685,100.00,,
10421140847,ns,duration_time,10421140847,100.00,,
