occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
48080696027,,cycles,10249566750,100.00,,
73894146312,,instructions,10249566750,100.00,1.54,insn per cycle
1147493733,,branch-misses,10249566750,100.00,,
126573,,LLC-load-misses,10249566750,100.00,,
7358,,LLC-store-misses,10249566750,100.00,,
10250563041,ns,duration_time,10250563041,100.00,,
48298431268,,cycles,10294394787,100.00,,
73894285580,,instructions,10294394787,100.00,1.53,insn per cycle
1148463470,,branch-misses,10294394787,100.00,,
229725,,LLC-load-misses,10294394787,100.00,,
6750,,LLC-store-misses,10294394787,100.00,,
10294888613,ns,duration_time,10294888613,100.00,,
47980881782,,cycles,10225051096,100.00,,
73894038494,,instructions,10225051096,100.00,1.54,insn per cycle
1145375298,,branch-misses,10225051096,100.00,,
132091,,LLC-load-misses,10225051096,100.00,,
5813,,LLC-store-misses,10225051096,100.00,,
10225511813,ns,duration_time,10225511813,100.00,,
