occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
54260820345,,cycles,11563760079,100.00,,
89819994935,,instructions,11563760079,100.00,1.66,insn per cycle
1200209113,,branch-misses,11563760079,100.00,,
87748,,LLC-load-misses,11563760079,100.00,,
5530,,LLC-store-misses,11563760079,100.00,,
11564102065,ns,duration_time,11564102065,100.00,,
54196403648,,cycles,11548998807,100.00,,
89819763886,,instructions,11548998807,100.00,1.66,insn per cycle
1199484979,,branch-misses,11548998807,100.00,,
74089,,LLC-load-misses,11548998807,100.00,,
6268,,LLC-store-misses,11548998807,100.00,,
11549375561,ns,duration_time,11549375561,100.00,,
53737471424,,cycles,11452336996,100.00,,
89819815907,,instructions,11452336996,100.00,1.67,insn per cycle
1198606155,,branch-misses,11452336996,100.00,,
93821,,LLC-load-misses,11452336996,100.00,,
6635,,LLC-store-misses,11452336996,100.00,,
11476054836,ns,duration_time,11476054836,100.00,,
53591665834,,cycles,11421901090,100.00,,
89820851438,,instructions,11421901090,100.00,1.68,insn per cycle
1196564976,,branch-misses,11421901090,100.00,,
116280,,LLC-load-misses,11421901090,100.00,,
7712,,LLC-store-misses,11421901090,100.00,,
11423655041,ns,duration_time,11423655041,100.00,,
57758510212,,cycles,12308398805,100.00,,
89821014142,,instructions,12308398805,100.00,1.56,insn per cycle
1198065722,,branch-misses,12308398805,100.00,,
81904,,LLC-load-misses,12308398805,100.00,,
6505,,LLC-store-misses,12308398805,100.00,,
12308818129,ns,duration_time,12308818129,100.00,,
