47912406829,,cycles,10212540884,100.00,,
72254584668,,instructions,10212540884,100.00,1.51,insn per cycle
1135207247,,branch-misses,10212540884,100.00,,
97634,,LLC-load-misses,10212540884,100.00,,
7161,,LLC-store-misses,10212540884,100.00,,
10213358134,ns,duration_time,10213358134,100.00,,
47688178493,,cycles,10163306780,100.00,,
72255062491,,instructions,10163306780,100.00,1.52,insn per cycle
1135730568,,branch-misses,10163306780,100.00,,
156365,,LLC-load-misses,10163306780,100.00,,
7267,,LLC-store-misses,10163306780,100.00,,
10163863768,ns,duration_time,10163863768,100.00,,
47585517811,,cycles,10141171439,100.00,,
72254483214,,instructions,10141171439,100.00,1.52,insn per cycle
1135401963,,branch-misses,10141171439,100.00,,
154071,,LLC-load-misses,10141171439,100.00,,
6651,,LLC-store-misses,10141171439,100.00,,
10141927652,ns,duration_time,10141927652,100.00,,
47614270319,,cycles,10147575650,100.00,,
72254664934,,instructions,10147575650,100.00,1.52,insn per cycle
1136270617,,branch-misses,10147575650,100.00,,
154057,,LLC-load-misses,10147575650,100.00,,
6930,,LLC-store-misses,10147575650,100.00,,
10148195352,ns,duration_time,10148195352,100.00,,
