occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
55068381999,,cycles,11738251569,100.00,,
87975421006,,instructions,11738251569,100.00,1.60,insn per cycle
1228294187,,branch-misses,11738251569,100.00,,
264877,,LLC-load-misses,11738251569,100.00,,
8639,,LLC-store-misses,11738251569,100.00,,
11739045909,ns,duration_time,11739045909,100.00,,
54379389999,,cycles,11588575955,100.00,,
87975705270,,instructions,11588575955,100.00,1.62,insn per cycle
1224943774,,branch-misses,11588575955,100.00,,
222956,,LLC-load-misses,11588575955,100.00,,
7857,,LLC-store-misses,11588575955,100.00,,
11589031998,ns,duration_time,11589031998,100.00,,
