occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
51268479237,,cycles,10925465582,100.00,,
72255385911,,instructions,10925465582,100.00,1.41,insn per cycle
1134349650,,branch-misses,10925465582,100.00,,
49592,,LLC-load-misses,10925465582,100.00,,
5953,,LLC-store-misses,10925465582,100.00,,
10925927010,ns,duration_time,10925927010,100.00,,
47617027881,,cycles,10148569463,100.00,,
72256346458,,instructions,10148569463,100.00,1.52,insn per cycle
1135247597,,branch-misses,10148569463,100.00,,
85471,,LLC-load-misses,10148569463,100.00,,
6800,,LLC-store-misses,10148569463,100.00,,
10148992981,ns,duration_time,10148992981,100.00,,
48055376697,,cycles,10241207057,100.00,,
72254245090,,instructions,10241207057,100.00,1.50,insn per cycle
1136504123,,branch-misses,10241207057,100.00,,
52437,,LLC-load-misses,10241207057,100.00,,
6114,,LLC-store-misses,10241207057,100.00,,
10250385743,ns,duration_time,10250385743,100.00,,
48066769678,,cycles,10243677439,100.00,,
72254248502,,instructions,10243677439,100.00,1.50,insn per cycle
1137967280,,branch-misses,10243677439,100.00,,
51541,,LLC-load-misses,10243677439,100.00,,
6021,,LLC-store-misses,10243677439,100.00,,
10252231751,ns,duration_time,10252231751,100.00,,
47796141276,,cycles,10185772383,100.00,,
72254153626,,instructions,10185772383,100.00,1.51,insn per cycle
1136623074,,branch-misses,10185772383,100.00,,
49254,,LLC-load-misses,10185772383,100.00,,
5778,,LLC-store-misses,10185772383,100.00,,
10186299246,ns,duration_time,10186299246,100.00,,
