occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
50068569397,,cycles,10670171840,100.00,,
72899026341,,instructions,10670171840,100.00,1.46,insn per cycle
1160127452,,branch-misses,10670171840,100.00,,
73247,,LLC-load-misses,10670171840,100.00,,
6083,,LLC-store-misses,10670171840,100.00,,
10678254141,ns,duration_time,10678254141,100.00,,
50229100483,,cycles,10704568816,100.00,,
72897668060,,instructions,10704568816,100.00,1.45,insn per cycle
1162530261,,branch-misses,10704568816,100.00,,
85841,,LLC-load-misses,10704568816,100.00,,
9035,,LLC-store-misses,10704568816,100.00,,
10711082679,ns,duration_time,10711082679,100.00,,
50144764454,,cycles,10686140720,100.00,,
72895808693,,instructions,10686140720,100.00,1.45,insn per cycle
1159918231,,branch-misses,10686140720,100.00,,
46776,,LLC-load-misses,10686140720,100.00,,
8863,,LLC-store-misses,10686140720,100.00,,
10686416122,ns,duration_time,10686416122,100.00,,
50278566707,,cycles,10715283349,100.00,,
72895770336,,instructions,10715283349,100.00,1.45,insn per cycle
1161384839,,branch-misses,10715283349,100.00,,
59960,,LLC-load-misses,10715283349,100.00,,
8823,,LLC-store-misses,10715283349,100.00,,
10716896315,ns,duration_time,10716896315,100.00,,
50138468223,,cycles,10685090151,100.00,,
72895645790,,instructions,10685090151,100.00,1.45,insn per cycle
1159831522,,branch-misses,10685090151,100.00,,
80955,,LLC-load-misses,10685090151,100.00,,
9049,,LLC-store-misses,10685090151,100.00,,
10685479184,ns,duration_time,10685479184,100.00,,
