occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
54447215903,,cycles,11602827725,100.00,,
88796292114,,instructions,11602827725,100.00,1.63,insn per cycle
1216832996,,branch-misses,11602827725,100.00,,
52881,,LLC-load-misses,11602827725,100.00,,
6393,,LLC-store-misses,11602827725,100.00,,
11603316958,ns,duration_time,11603316958,100.00,,
54046110346,,cycles,11517699596,100.00,,
88795845375,,instructions,11517699596,100.00,1.64,insn per cycle
1215789824,,branch-misses,11517699596,100.00,,
72225,,LLC-load-misses,11517699596,100.00,,
6519,,LLC-store-misses,11517699596,100.00,,
11518068931,ns,duration_time,11518068931,100.00,,
54101294152,,cycles,11530012767,100.00,,
88795819098,,instructions,11530012767,100.00,1.64,insn per cycle
1215535369,,branch-misses,11530012767,100.00,,
78911,,LLC-load-misses,11530012767,100.00,,
6966,,LLC-store-misses,11530012767,100.00,,
11532480010,ns,duration_time,11532480010,100.00,,
54270283911,,cycles,11566152236,100.00,,
88798039190,,instructions,11566152236,100.00,1.64,insn per cycle
1216414675,,branch-misses,11566152236,100.00,,
75231,,LLC-load-misses,11566152236,100.00,,
7300,,LLC-store-misses,11566152236,100.00,,
11569835691,ns,duration_time,11569835691,100.00,,
55551164324,,cycles,11839579431,100.00,,
88795133791,,instructions,11839579431,100.00,1.60,insn per cycle
1220032981,,branch-misses,11839579431,100.00,,
84158,,LLC-load-misses,11839579431,100.00,,
6232,,LLC-store-misses,11839579431,100.00,,
11840081803,ns,duration_time,11840081803,100.00,,
