occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
57496494222,,cycles,12255543134,100.00,,
90663806928,,instructions,12255543134,100.00,1.58,insn per cycle
1237190495,,branch-misses,12255543134,100.00,,
113698,,LLC-load-misses,12255543134,100.00,,
7142,,LLC-store-misses,12255543134,100.00,,
12257865655,ns,duration_time,12257865655,100.00,,
55246760677,,cycles,11774089758,100.00,,
90664033174,,instructions,11774089758,100.00,1.64,insn per cycle
1231053634,,branch-misses,11774089758,100.00,,
105313,,LLC-load-misses,11774089758,100.00,,
7318,,LLC-store-misses,11774089758,100.00,,
11783137076,ns,duration_time,11783137076,100.00,,
55184026779,,cycles,11760721044,100.00,,
90666115268,,instructions,11760721044,100.00,1.64,insn per cycle
1232017334,,branch-misses,11760721044,100.00,,
76121,,LLC-load-misses,11760721044,100.00,,
7413,,LLC-store-misses,11760721044,100.00,,
11772498378,ns,duration_time,11772498378,100.00,,
54953446423,,cycles,11710731438,100.00,,
90665912354,,instructions,11710731438,100.00,1.65,insn per cycle
1230686968,,branch-misses,11710731438,100.00,,
97023,,LLC-load-misses,11710731438,100.00,,
7286,,LLC-store-misses,11710731438,100.00,,
11711185171,ns,duration_time,11711185171,100.00,,
54988685506,,cycles,11718386684,100.00,,
90667429227,,instructions,11718386684,100.00,1.65,insn per cycle
1230628280,,branch-misses,11718386684,100.00,,
87792,,LLC-load-misses,11718386684,100.00,,
7273,,LLC-store-misses,11718386684,100.00,,
11718797867,ns,duration_time,11718797867,100.00,,
