occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
43395026786,,cycles,9251590640,100.00,,
65466964167,,instructions,9251590640,100.00,1.51,insn per cycle
1135455724,,branch-misses,9251590640,100.00,,
328480,,LLC-load-misses,9251590640,100.00,,
9295,,LLC-store-misses,9251590640,100.00,,
9252664820,ns,duration_time,9252664820,100.00,,
43533371649,,cycles,9278753317,100.00,,
65466711372,,instructions,9278753317,100.00,1.50,insn per cycle
1136059249,,branch-misses,9278753317,100.00,,
327462,,LLC-load-misses,9278753317,100.00,,
8022,,LLC-store-misses,9278753317,100.00,,
9292181542,ns,duration_time,9292181542,100.00,,
43590906029,,cycles,9290146458,100.00,,
65467870352,,instructions,9290146458,100.00,1.50,insn per cycle
1136068432,,branch-misses,9290146458,100.00,,
272550,,LLC-load-misses,9290146458,100.00,,
8604,,LLC-store-misses,9290146458,100.00,,
9290773910,ns,duration_time,9290773910,100.00,,
