occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
44100854060,,cycles,9401463833,100.00,,
65466407327,,instructions,9401463833,100.00,1.48,insn per cycle
1137651633,,branch-misses,9401463833,100.00,,
30269,,LLC-load-misses,9401463833,100.00,,
6550,,LLC-store-misses,9401463833,100.00,,
9402676551,ns,duration_time,9402676551,100.00,,
44062149220,,cycles,9390044542,100.00,,
65466420386,,instructions,9390044542,100.00,1.49,insn per cycle
1137088938,,branch-misses,9390044542,100.00,,
77372,,LLC-load-misses,9390044542,100.00,,
6245,,LLC-store-misses,9390044542,100.00,,
9403603222,ns,duration_time,9403603222,100.00,,
44143346849,,cycles,9408397349,100.00,,
65466600956,,instructions,9408397349,100.00,1.48,insn per cycle
1137927005,,branch-misses,9408397349,100.00,,
60853,,LLC-load-misses,9408397349,100.00,,
5900,,LLC-store-misses,9408397349,100.00,,
9420216960,ns,duration_time,9420216960,100.00,,
44041000194,,cycles,9389468003,100.00,,
65466015423,,instructions,9389468003,100.00,1.49,insn per cycle
1137510433,,branch-misses,9389468003,100.00,,
28064,,LLC-load-misses,9389468003,100.00,,
5151,,LLC-store-misses,9389468003,100.00,,
9389739580,ns,duration_time,9389739580,100.00,,
44023235348,,cycles,9381339591,100.00,,
65465724097,,instructions,9381339591,100.00,1.49,insn per cycle
1136792472,,branch-misses,9381339591,100.00,,
17511,,LLC-load-misses,9381339591,100.00,,
4697,,LLC-store-misses,9381339591,100.00,,
9381689924,ns,duration_time,9381689924,100.00,,
