occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
58022942494,,cycles,12367220800,100.00,,
72897641805,,instructions,12367220800,100.00,1.26,insn per cycle
1160782345,,branch-misses,12367220800,100.00,,
263089,,LLC-load-misses,12367220800,100.00,,
10600,,LLC-store-misses,12367220800,100.00,,
12367891155,ns,duration_time,12367891155,100.00,,
50150291401,,cycles,10687745033,100.00,,
72896002975,,instructions,10687745033,100.00,1.45,insn per cycle
1159669524,,branch-misses,10687745033,100.00,,
157366,,LLC-load-misses,10687745033,100.00,,
9499,,LLC-store-misses,10687745033,100.00,,
10688347243,ns,duration_time,10688347243,100.00,,
50209249970,,cycles,10699706612,100.00,,
72896592139,,instructions,10699706612,100.00,1.45,insn per cycle
1159527020,,branch-misses,10699706612,100.00,,
118533,,LLC-load-misses,10699706612,100.00,,
9304,,LLC-store-misses,10699706612,100.00,,
10700153761,ns,duration_time,10700153761,100.00,,
