occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
48231113664,,cycles,10282310619,100.00,,
73894719976,,instructions,10282310619,100.00,1.53,insn per cycle
1149063610,,branch-misses,10282310619,100.00,,
121597,,LLC-load-misses,10282310619,100.00,,
7193,,LLC-store-misses,10282310619,100.00,,
10283547892,ns,duration_time,10283547892,100.00,,
48210774884,,cycles,10273571307,100.00,,
73894398661,,instructions,10273571307,100.00,1.53,insn per cycle
1148479318,,branch-misses,10273571307,100.00,,
108621,,LLC-load-misses,10273571307,100.00,,
6190,,LLC-store-misses,10273571307,100.00,,
10274011084,ns,duration_time,10274011084,100.00,,
48922715553,,cycles,10425598483,100.00,,
73894440162,,instructions,10425598483,100.00,1.51,insn per cycle
1148301598,,branch-misses,10425598483,100.00,,
102672,,LLC-load-misses,10425598483,100.00,,
5986,,LLC-store-misses,10425598483,100.00,,
10426093970,ns,duration_time,10426093970,100.00,,
