occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
48253355155,,cycles,10282623788,100.00,,
75792838101,,instructions,10282623788,100.00,1.57,insn per cycle
1135054390,,branch-misses,10282623788,100.00,,
40204,,LLC-load-misses,10282623788,100.00,,
3347,,LLC-store-misses,10282623788,100.00,,
10282956426,ns,duration_time,10282956426,100.00,,
48312170961,,cycles,10295253956,100.00,,
75792737655,,instructions,10295253956,100.00,1.57,insn per cycle
1135432256,,branch-misses,10295253956,100.00,,
41385,,LLC-load-misses,10295253956,100.00,,
5881,,LLC-store-misses,10295253956,100.00,,
10295672860,ns,duration_time,10295672860,100.00,,
48286634264,,cycles,10290274836,100.00,,
75793057523,,instructions,10290274836,100.00,1.57,insn per cycle
1136989712,,branch-misses,10290274836,100.00,,
54927,,LLC-load-misses,10290274836,100.00,,
5951,,LLC-store-misses,10290274836,100.00,,
10290726835,ns,duration_time,10290726835,100.00,,
52018797811,,cycles,11086730450,100.00,,
75794366371,,instructions,11086730450,100.00,1.46,insn per cycle
1135480835,,branch-misses,11086730450,100.00,,
113125,,LLC-load-misses,11086730450,100.00,,
7010,,LLC-store-misses,11086730450,100.00,,
11087081199,ns,duration_time,11087081199,100.00,,
48072317588,,cycles,10245855275,100.00,,
75793169701,,instructions,10245855275,100.00,1.58,insn per cycle
1136307454,,branch-misses,10245855275,100.00,,
90446,,LLC-load-misses,10245855275,100.00,,
6152,,LLC-store-misses,10245855275,100.00,,
10246514096,ns,duration_time,10246514096,100.00,,
