occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
43499362346,,cycles,9271502826,100.00,,
65466788588,,instructions,9271502826,100.00,1.51,insn per cycle
1136282554,,branch-misses,9271502826,100.00,,
65995,,LLC-load-misses,9271502826,100.00,,
6107,,LLC-store-misses,9271502826,100.00,,
9272114578,ns,duration_time,9272114578,100.00,,
43747353141,,cycles,9322555877,100.00,,
65466517215,,instructions,9322555877,100.00,1.50,insn per cycle
1136263836,,branch-misses,9322555877,100.00,,
52444,,LLC-load-misses,9322555877,100.00,,
5975,,LLC-store-misses,9322555877,100.00,,
9322966713,ns,duration_time,9322966713,100.00,,
43634982005,,cycles,9298685313,100.00,,
65466445975,,instructions,9298685313,100.00,1.50,insn per cycle
1136141802,,branch-misses,9298685313,100.00,,
37066,,LLC-load-misses,9298685313,100.00,,
5719,,LLC-store-misses,9298685313,100.00,,
9298999886,ns,duration_time,9298999886,100.00,,
43478249473,,cycles,9265521412,100.00,,
65466935662,,instructions,9265521412,100.00,1.51,insn per cycle
1135853323,,branch-misses,9265521412,100.00,,
34031,,LLC-load-misses,9265521412,100.00,,
5668,,LLC-store-misses,9265521412,100.00,,
9265964887,ns,duration_time,9265964887,100.00,,
43323417167,,cycles,9233066936,100.00,,
65467454274,,instructions,9233066936,100.00,1.51,insn per cycle
1135953577,,branch-misses,9233066936,100.00,,
72986,,LLC-load-misses,9233066936,100.00,,
6917,,LLC-store-misses,9233066936,100.00,,
9243309534,ns,duration_time,9243309534,100.00,,
