occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
48424819375,,cycles,10319426936,100.00,,
75793207481,,instructions,10319426936,100.00,1.57,insn per cycle
1140023477,,branch-misses,10319426936,100.00,,
64942,,LLC-load-misses,10319426936,100.00,,
5952,,LLC-store-misses,10319426936,100.00,,
10319849732,ns,duration_time,10319849732,100.00,,
47874993606,,cycles,10202148571,100.00,,
75792783107,,instructions,10202148571,100.00,1.58,insn per cycle
1140365910,,branch-misses,10202148571,100.00,,
55050,,LLC-load-misses,10202148571,100.00,,
6074,,LLC-store-misses,10202148571,100.00,,
10202565690,ns,duration_time,10202565690,100.00,,
48270758376,,cycles,10286577402,100.00,,
75792881536,,instructions,10286577402,100.00,1.57,insn per cycle
1140173932,,branch-misses,10286577402,100.00,,
49596,,LLC-load-misses,10286577402,100.00,,
5990,,LLC-store-misses,10286577402,100.00,,
10286944649,ns,duration_time,10286944649,100.00,,
48416499298,,cycles,10317838332,100.00,,
75792929835,,instructions,10317838332,100.00,1.57,insn per cycle
1138798483,,branch-misses,10317838332,100.00,,
68380,,LLC-load-misses,10317838332,100.00,,
6253,,LLC-store-misses,10317838332,100.00,,
10318263985,ns,duration_time,10318263985,100.00,,
47909772794,,cycles,10211304753,100.00,,
75795626503,,instructions,10211304753,100.00,1.58,insn per cycle
1138032277,,branch-misses,10211304753,100.00,,
119215,,LLC-load-misses,10211304753,100.00,,
6933,,LLC-store-misses,10211304753,100.00,,
10213186122,ns,duration_time,10213186122,100.00,,
