occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
48223491280,,cycles,10278756776,100.00,,
73484605542,,instructions,10278756776,100.00,1.52,insn per cycle
1151558521,,branch-misses,10278756776,100.00,,
115382,,LLC-load-misses,10278756776,100.00,,
7344,,LLC-store-misses,10278756776,100.00,,
10279445300,ns,duration_time,10279445300,100.00,,
48564921283,,cycles,10349331044,100.00,,
73484230886,,instructions,10349331044,100.00,1.51,insn per cycle
1153706164,,branch-misses,10349331044,100.00,,
88677,,LLC-load-misses,10349331044,100.00,,
5620,,LLC-store-misses,10349331044,100.00,,
10349766053,ns,duration_time,10349766053,100.00,,
48581599632,,cycles,10352761286,100.00,,
73484195553,,instructions,10352761286,100.00,1.51,insn per cycle
1153186309,,branch-misses,10352761286,100.00,,
100475,,LLC-load-misses,10352761286,100.00,,
5743,,LLC-store-misses,10352761286,100.00,,
10353218244,ns,duration_time,10353218244,100.00,,
