occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
54428589131,,cycles,11598808666,100.00,,
75173362546,,instructions,11598808666,100.00,1.38,insn per cycle
1132669275,,branch-misses,11598808666,100.00,,
56987,,LLC-load-misses,11598808666,100.00,,
6365,,LLC-store-misses,11598808666,100.00,,
11599299677,ns,duration_time,11599299677,100.00,,
54310378383,,cycles,11573612069,100.00,,
75173315768,,instructions,11573612069,100.00,1.38,insn per cycle
1132076613,,branch-misses,11573612069,100.00,,
51104,,LLC-load-misses,11573612069,100.00,,
6112,,LLC-store-misses,11573612069,100.00,,
11573989867,ns,duration_time,11573989867,100.00,,
54448806621,,cycles,11604990159,100.00,,
75173584135,,instructions,11604990159,100.00,1.38,insn per cycle
1130792363,,branch-misses,11604990159,100.00,,
70543,,LLC-load-misses,11604990159,100.00,,
6200,,LLC-store-misses,11604990159,100.00,,
11605356843,ns,duration_time,11605356843,100.00,,
54179105631,,cycles,11545894229,100.00,,
75173328170,,instructions,11545894229,100.00,1.39,insn per cycle
1122902949,,branch-misses,11545894229,100.00,,
58459,,LLC-load-misses,11545894229,100.00,,
6050,,LLC-store-misses,11545894229,100.00,,
11561615553,ns,duration_time,11561615553,100.00,,
54113822483,,cycles,11532105088,100.00,,
75173422588,,instructions,11532105088,100.00,1.39,insn per cycle
1131871776,,branch-misses,11532105088,100.00,,
61214,,LLC-load-misses,11532105088,100.00,,
6070,,LLC-store-misses,11532105088,100.00,,
11539572151,ns,duration_time,11539572151,100.00,,
