occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
43638272958,,cycles,9299915423,100.00,,
65467010842,,instructions,9299915423,100.00,1.50,insn per cycle
1135574541,,branch-misses,9299915423,100.00,,
202352,,LLC-load-misses,9299915423,100.00,,
8610,,LLC-store-misses,9299915423,100.00,,
9300524355,ns,duration_time,9300524355,100.00,,
43843881974,,cycles,9343698107,100.00,,
65467029157,,instructions,9343698107,100.00,1.49,insn per cycle
1135625168,,branch-misses,9343698107,100.00,,
164884,,LLC-load-misses,9343698107,100.00,,
6975,,LLC-store-misses,9343698107,100.00,,
9344116036,ns,duration_time,9344116036,100.00,,
43685119345,,cycles,9309340434,100.00,,
65466944507,,instructions,9309340434,100.00,1.50,insn per cycle
1135751728,,branch-misses,9309340434,100.00,,
161436,,LLC-load-misses,9309340434,100.00,,
6687,,LLC-store-misses,9309340434,100.00,,
9309795222,ns,duration_time,9309795222,100.00,,
