occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
54358964760,,cycles,11584815763,100.00,,
90845671328,,instructions,11584815763,100.00,1.67,insn per cycle
1209441901,,branch-misses,11584815763,100.00,,
101175,,LLC-load-misses,11584815763,100.00,,
4870,,LLC-store-misses,11584815763,100.00,,
11585579917,ns,duration_time,11585579917,100.00,,
54224831749,,cycles,11556010081,100.00,,
90845174258,,instructions,11556010081,100.00,1.68,insn per cycle
1207806727,,branch-misses,11556010081,100.00,,
76868,,LLC-load-misses,11556010081,100.00,,
6608,,LLC-store-misses,11556010081,100.00,,
11556503081,ns,duration_time,11556503081,100.00,,
54114705661,,cycles,11533302738,100.00,,
90845473941,,instructions,11533302738,100.00,1.68,insn per cycle
1204910730,,branch-misses,11533302738,100.00,,
240019,,LLC-load-misses,11533302738,100.00,,
7865,,LLC-store-misses,11533302738,100.00,,
11535726332,ns,duration_time,11535726332,100.00,,
54779368112,,cycles,11674202045,100.00,,
90844694465,,instructions,11674202045,100.00,1.66,insn per cycle
1210859566,,branch-misses,11674202045,100.00,,
102393,,LLC-load-misses,11674202045,100.00,,
6792,,LLC-store-misses,11674202045,100.00,,
11675512205,ns,duration_time,11675512205,100.00,,
54790279659,,cycles,11677056492,100.00,,
90846749254,,instructions,11677056492,100.00,1.66,insn per cycle
1210539201,,branch-misses,11677056492,100.00,,
57329,,LLC-load-misses,11677056492,100.00,,
6445,,LLC-store-misses,11677056492,100.00,,
11677460596,ns,duration_time,11677460596,100.00,,
