occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
54718381831,,cycles,11667005693,100.00,,
88799376430,,instructions,11667005693,100.00,1.62,insn per cycle
1226972568,,branch-misses,11667005693,100.00,,
436367,,LLC-load-misses,11667005693,100.00,,
10844,,LLC-store-misses,11667005693,100.00,,
11668466897,ns,duration_time,11668466897,100.00,,
54067850099,,cycles,11522815860,100.00,,
88795865373,,instructions,11522815860,100.00,1.64,insn per cycle
1214995854,,branch-misses,11522815860,100.00,,
350952,,LLC-load-misses,11522815860,100.00,,
9411,,LLC-store-misses,11522815860,100.00,,
11523378775,ns,duration_time,11523378775,100.00,,
