occurrences,unit,event,run_id,percent,additional_stat,additional_stat_description
43571712222,,cycles,9286317960,100.00,,
65466901309,,instructions,9286317960,100.00,1.50,insn per cycle
1136189521,,branch-misses,9286317960,100.00,,
64645,,LLC-load-misses,9286317960,100.00,,
6336,,LLC-store-misses,9286317960,100.00,,
9310424231,ns,duration_time,9310424231,100.00,,
43566416759,,cycles,9285105168,100.00,,
65466447674,,instructions,9285105168,100.00,1.50,insn per cycle
1135645754,,branch-misses,9285105168,100.00,,
54659,,LLC-load-misses,9285105168,100.00,,
5845,,LLC-store-misses,9285105168,100.00,,
9285496127,ns,duration_time,9285496127,100.00,,
43699644833,,cycles,9312389625,100.00,,
65466595227,,instructions,9312389625,100.00,1.50,insn per cycle
1136001583,,branch-misses,9312389625,100.00,,
55177,,LLC-load-misses,9312389625,100.00,,
5797,,LLC-store-misses,9312389625,100.00,,
9312769995,ns,duration_time,9312769995,100.00,,
44669146982,,cycles,9518944928,100.00,,
65466736095,,instructions,9518944928,100.00,1.47,insn per cycle
1137966614,,branch-misses,9518944928,100.00,,
39234,,LLC-load-misses,9518944928,100.00,,
5677,,LLC-store-misses,9518944928,100.00,,
9519394016,ns,duration_time,9519394016,100.00,,
43491333499,,cycles,9268293149,100.00,,
65468874522,,instructions,9268293149,100.00,1.51,insn per cycle
1136477903,,branch-misses,9268293149,100.00,,
41411,,LLC-load-misses,9268293149,100.00,,
6354,,LLC-store-misses,9268293149,100.00,,
9268776144,ns,duration_time,9268776144,100.00,,
